id,created_at,author,likes,followers_count,place,search_term,text
1225927933673472001,2020-02-07 23:42:50,1730080754,40,1163,,Impeached,"@mcspocky Putts Pence actually thinks Trump's support is growing? 😂  Doesn't he know he is next in line for impeachment?  Trump can be impeached twice.  He is being vindictive with the witnesses, The House of Representatives, the whistleblower, John Bolton, Vindman, Pelosi, Schiff,..."
1225927746708234241,2020-02-07 23:42:06,241587636,17,640,"Bristow, OK",Impeached,"@eliehonig @DebbieDoesTwitt Burdensome, LTC Vindmen represents truth, honor&amp; integrity.
IMPEACHED TRUMP was burdened to be asked to provide DNA to exonerate himself 
for yet another, RAPE ALLEGATION.
 Bone spur- ouch.
https://t.co/cbY1yXuLTf"
1225927725887692800,2020-02-07 23:42:01,4736371274,83,443,,Impeached,"@AngrierWHStaff Remember that time Bill Clinton was impeached then acquitted? He apologized to the country.

cc: @BillClinton"
1225927722914000896,2020-02-07 23:42:00,46085118,10,18556,,Impeached,What’s a suitable name to give Impeached Trump?
1225927536875646976,2020-02-07 23:41:16,18693735,11,575,,Impeached,"@JudicialWatch @TomFitton @realDonaldTrump Nope, not vindicated.  He was impeached. Forever."
1225927247011500032,2020-02-07 23:40:06,16815644,16,846104,,Impeached,"For the first time, an impeached president is running for reelection. What happens now?

Via @FiveThirtyEight: https://t.co/9VXIgLflwU"
1225927185174843398,2020-02-07 23:39:52,759999538857992192,32,112,,Impeached,"@HighlandPeep @ananavarro Not removed from office, BUT IMPEACHED FOR LIFE! He will forever be listed among U.S. Presidents with an asterisk (*) following his name - just like Bill Clinton. New impeachment charges can be brought if new info becomes available."
1225926653613879297,2020-02-07 23:37:45,1166218513855520768,6,179,,Impeached,@DeAnna4Congress @realDonaldTrump Trump will forever be impeached!
1225926580217606144,2020-02-07 23:37:27,1220084192475615232,5,13,,Impeached,"@mitchellvii @AdilMah77493883 Nancy is a Hero. Impeachment didn't fail. There was no Trial. He's Impeached Forever. If Impeachment failed as you and he believe, then why is he trying to get the House to expunge his record? https://t.co/2n1N127Xcf"
1225926412671967232,2020-02-07 23:36:48,148592588,6,502,,Impeached,@TheRickWilson An excuse to control the backbone of communications. Hence shut it down and monitor everyone the way China does.  Barr needs to be urgently impeached. Perjury is a good start. To Congress
1225926357869305857,2020-02-07 23:36:34,1183901628904161281,6,5,,Impeached,"@THOR198611 @NoWay7790 @realDonaldTrump Unfortunately that’s true, thanks to an scared ass senate. But he is still impeached, Bi+€h!"
1225925968163786753,2020-02-07 23:35:02,4859001227,5,0,,Impeached,@Desco_Bee @realDonaldTrump Impeached forever
1225925792116465664,2020-02-07 23:34:20,780910222072225792,22,413,,Impeached,@WhiteHouse Still IMPEACHED FOREVER!!!!!
1225925775464943617,2020-02-07 23:34:16,798932221142790144,5,2624,,Impeached,"Yes, @SecretaryCarson … everyone who receives a check from trump* loves him. 🙄

* IMPEACHED December 18, 2019 https://t.co/QtReuOq1Gv"
1225925579800748032,2020-02-07 23:33:29,2212971972,7,303,,Impeached,@RealPressSecBot Impeached Prez says what?
1225925469012316160,2020-02-07 23:33:03,922286996,25,7150,,Impeached,Can Barr be impeached? What would the process be? https://t.co/B2oEXZDU3c
1225925213805850624,2020-02-07 23:32:02,803228860435365888,17,727,,Impeached,"@washingtonpost @davidfrum Nah, Impeached forever."
1225925130917945344,2020-02-07 23:31:42,809258085315264512,9,37,,Impeached,"@davidmweissman @jbrady177 @votevets @commondefense Call all of your friends and urge them to vote to tell Mr. Impeached, “Individual-1” “YOU’RE FIRED!” on Tuesday, November 3, 2020, when We, The People, will rise up &amp; take Our Nation back from this corrupt madman! WE HAVE HAD ENOUGH! #Impeach45atTheBallotBoxin2020"
1225925078065590272,2020-02-07 23:31:29,80851077,5,5296,,Impeached,"Hey @realDonaldTrump,

You can remove Vindman, but you’ll NEVER be able to remove the fact you’ve been IMPEACHED!"
1225925045903667200,2020-02-07 23:31:22,2946632040,9,2161,,Impeached,"And Rush freaking Limbaugh gets the Presidential Medal of Freedom?
It's been a really shitty week full of stupid, shitty decisions by an idiotic, shitty, IMPEACHED FOREVER sham President.
I'm going to Saturday so damn hard tomorrow.
#VoteThemOut2020 
#VindmanDeservesBetter https://t.co/USMS7edIbC"
1225925026123304960,2020-02-07 23:31:17,43753976,342,76110,,Impeached,"The lush says Trump will forever be impeached. But he was acquitted whether she likes it or not. On the other hand, she will forever be remembered as the speaker who made a complete azz of herself by having a temper tantrum in front of an entire nation.
https://t.co/Q6A1kQVtnn"
1225924871160508418,2020-02-07 23:30:40,2664472843,5,4682,,Impeached,"I think the top Democrats should tour the TV stations, even Fox, the propaganda channel, and explain how trump was 100% guilty as accused. Then explain the GOP senators are too weak and scared to go against trump so they let him go.
Trump is still impeached and he is guilty"
1225924565907406849,2020-02-07 23:29:27,1024319627147534336,15,43,,Impeached,"@Cyn3wulf @WinglessBone @JohnJBrea @Nugewqtd @nunnia1 Impeached forever!!!
#VoteTrumpOut2020"
